Id,c_l4,g_l4
687,4.5,425
688,4.5,688
689,4.5,1602
690,4.5,690
691,4.5,690
692,4.5,3967
693,4.5,2634
694,4.5,695
695,4.5,695
696,4.5,697
697,4.5,697
698,4.5,5343
699,4.5,796
700,4.5,415
701,4.5,910
702,4.5,421
703,4.5,703
704,4.5,1
705,4.5,76
706,4.5,2421
707,4.5,26587
708,4.5,695
709,4.5,2421
710,4.5,710
711,4.5,711
712,4.5,712
713,4.5,85
714,4.5,1122
715,4.5,715
716,4.5,17530
717,4.5,1063
718,4.5,1063
719,4.5,1248
720,4.5,1248
721,4.5,721
722,4.5,722
723,4.5,7645
724,4.5,3728
725,4.5,2335
726,4.5,725
727,4.5,727
728,4.5,538
729,4.5,2421
730,4.5,3679
731,4.5,730
732,4.5,1743
733,4.5,733
734,4.5,10526
735,4.5,10526
736,4.5,1946
737,4.5,1946
738,4.5,212
739,4.5,1063
740,4.5,85
741,4.5,5240
742,4.5,5240
743,4.5,743
744,4.5,5246
745,4.5,3967
746,4.5,1535
747,4.5,76
748,4.5,27069
749,4.5,748
750,4.5,2421
751,4.5,796
752,4.5,796
753,4.5,695
754,4.5,10427
755,4.5,755
756,4.5,755
757,4.5,757
758,4.5,957
759,4.5,2421
760,4.5,2421
761,4.5,695
762,4.5,1248
763,4.5,1248
764,4.5,1457
765,4.5,957
766,4.5,487
767,4.5,1229
768,4.5,3832
769,4.5,769
770,4.5,6025
771,4.5,6025
772,4.5,882
773,4.5,415
774,4.5,351
775,4.5,775
776,4.5,775
777,4.5,4459
778,4.5,780
779,4.5,212
780,4.5,780
781,4.5,780
782,4.5,457
783,4.5,1565
784,4.5,33662
785,4.5,33662
786,4.5,786
787,4.5,1776
788,4.5,5926
789,4.5,38
790,4.5,2634
791,4.5,5626
792,4.5,17974
793,4.5,3141
794,4.5,3141
795,4.5,421
796,4.5,1248
797,4.5,957
798,4.5,799
799,4.5,85
800,4.5,800
801,4.5,910
802,4.5,1602
803,4.5,1237
804,4.5,25247
805,4.5,3141
806,4.5,910
807,4.5,807
808,4.5,808
809,4.5,85
810,4.5,150
811,4.5,150
812,4.5,812
813,4.5,812
814,4.5,8825
815,4.5,1761
816,4.5,1761
817,4.5,2964
818,4.5,13403
819,4.5,819
820,4.5,695
821,4.5,821
822,4.5,910
823,4.5,823
824,4.5,823
825,4.5,2421
826,4.5,1
827,4.5,1
828,4.5,695
829,4.5,653
